company,item,calories,calories_from_fat,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbs,fiber,sugar,protein,weight_watcher_points
McDonald’s,Angus Chipotle BBQ Bacon,800.0,350.0,39.0,18.0,2.0,145.0,2020.0,66.0,4.0,16.0,45.0,789.0
McDonald’s,Angus Chipotle BBQ Bacon Snack Wrap,400.0,190.0,22.0,10.0,1.0,75.0,1060.0,30.0,1.0,6.0,21.0,395.0
McDonald’s,Angus Deluxe Snack Wrap,410.0,220.0,25.0,10.0,1.5,75.0,990.0,27.0,2.0,3.0,20.0,403.0
McDonald’s,Angus Mushroom & Swiss Snack Wrap,430.0,230.0,26.0,10.0,1.5,75.0,730.0,27.0,2.0,2.0,22.0,420.0
McDonald’s,Mac Snack Wrap,330.0,170.0,19.0,7.0,1.0,45.0,690.0,26.0,1.0,3.0,15.0,325.0
McDonald’s,Small French Fries,230.0,100.0,11.0,1.5,0.0,0.0,160.0,29.0,3.0,0.0,3.0,228.5
McDonald’s,Medium French Fries,380.0,170.0,19.0,2.5,0.0,0.0,270.0,48.0,5.0,0.0,4.0,378.5
McDonald’s,Large French Fries,500.0,220.0,25.0,3.5,0.0,0.0,350.0,63.0,6.0,0.0,6.0,497.5
McDonald’s,Ketchup Packet,15.0,0.0,0.0,0.0,0.0,0.0,110.0,3.0,0.0,2.0,0.0,17.0
McDonald’s,Salt Packet,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0
McDonald’s,Chicken McNuggets® (4 piece),190.0,110.0,12.0,2.0,0.0,25.0,360.0,12.0,1.0,0.0,9.0,183.0
McDonald’s,Chicken McNuggets® (6 piece),280.0,160.0,18.0,3.0,0.0,40.0,540.0,18.0,1.0,0.0,13.0,270.0
McDonald’s,Chicken McNuggets® (10 piece),470.0,270.0,30.0,5.0,0.0,65.0,900.0,30.0,2.0,0.0,22.0,453.0
McDonald’s,Barbeque Sauce,50.0,0.0,0.0,0.0,0.0,0.0,260.0,12.0,0.0,10.0,0.0,60.0
McDonald’s,Honey,50.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,11.0,0.0,61.0
McDonald’s,Hot Mustard Sauce,60.0,20.0,2.5,0.0,0.0,5.0,250.0,9.0,2.0,6.0,1.0,65.0
McDonald’s,Sweet ‘N Sour Sauce,50.0,0.0,0.0,0.0,0.0,0.0,150.0,12.0,0.0,10.0,0.0,60.0
McDonald’s,Chicken Selects® Premium Breast Strips (3 pc),400.0,210.0,24.0,3.5,0.0,50.0,1010.0,23.0,0.0,0.0,23.0,380.5
McDonald’s,Chicken Selects® Premium Breast Strips (5 pc),660.0,360.0,40.0,6.0,0.0,85.0,1680.0,39.0,0.0,0.0,38.0,628.0
McDonald’s,Spicy Buffalo Sauce,60.0,50.0,6.0,1.0,0.0,0.0,800.0,1.0,1.0,0.0,0.0,61.0
McDonald’s,Creamy Ranch Sauce,170.0,160.0,18.0,3.0,0.0,10.0,270.0,2.0,0.0,1.0,0.0,174.0
McDonald’s,Tangy Honey Mustard Sauce,60.0,20.0,2.0,0.0,0.0,5.0,140.0,10.0,0.0,8.0,0.0,68.0
McDonald’s,Southwestern Chipotle Barbeque Sauce,60.0,0.0,0.0,0.0,0.0,0.0,210.0,15.0,1.0,11.0,0.0,71.0
McDonald’s,Premium Southwest Salad with Grilled Chicken,320.0,80.0,9.0,3.0,0.0,70.0,960.0,30.0,6.0,11.0,30.0,304.0
McDonald’s,Premium Southwest Salad with Crispy Chicken,430.0,180.0,20.0,4.0,0.0,55.0,920.0,38.0,6.0,12.0,26.0,420.0
McDonald’s,Premium Southwest Salad (without chicken),140.0,40.0,4.5,2.0,0.0,10.0,150.0,20.0,6.0,6.0,6.0,142.0
McDonald’s,Premium Bacon Ranch Salad with Grilled Chicken,260.0,90.0,9.0,4.0,0.0,90.0,1010.0,12.0,3.0,5.0,33.0,236.0
McDonald’s,Premium Bacon Ranch Salad with Crispy Chicken,370.0,180.0,20.0,6.0,0.0,75.0,970.0,20.0,3.0,6.0,29.0,353.0
McDonald’s,Premium Bacon Ranch Salad (without chicken),140.0,70.0,7.0,3.5,0.0,25.0,300.0,10.0,3.0,4.0,9.0,138.5
McDonald’s,Premium Caesar Salad with Grilled Chicken,220.0,60.0,6.0,3.0,0.0,75.0,890.0,12.0,3.0,5.0,30.0,198.0
McDonald’s,Premium Caesar Salad with Crispy Chicken,330.0,150.0,17.0,4.5,0.0,60.0,840.0,20.0,3.0,6.0,26.0,314.5
McDonald’s,Premium Caesar Salad (without chicken),90.0,35.0,4.0,2.5,0.0,10.0,180.0,9.0,3.0,4.0,7.0,89.5
McDonald’s,Side Salad,20.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,1.0,2.0,1.0,21.0
McDonald’s,Butter Garlic Croutons,60.0,15.0,1.5,0.0,0.0,0.0,140.0,10.0,1.0,0.0,2.0,58.0
McDonald’s,Snack Size Fruit & Walnut Salad,210.0,70.0,8.0,1.5,0.0,5.0,60.0,31.0,2.0,25.0,4.0,232.5
McDonald’s,Salad Dressings,287.3565754633716,105.01111397608366,11.682576459684894,4.066790352504638,0.14087117701575533,40.63312501438025,427.7226148409894,38.94619666048237,1.3975912452912995,23.82539610617336,9.43466172381835,309.0627989789797
McDonald’s,Newman’s Own® Creamy Southwest Dressing,100.0,50.0,6.0,1.0,0.0,20.0,340.0,11.0,0.0,3.0,1.0,103.0
McDonald’s,Newman’s Own® Creamy Caesar Dressing,190.0,170.0,18.0,3.5,0.0,20.0,500.0,4.0,0.0,2.0,2.0,193.5
McDonald’s,Newman’s Own® Low Fat Balsamic Vinaigrette,40.0,25.0,3.0,0.0,0.0,0.0,730.0,4.0,0.0,3.0,0.0,43.0
McDonald’s,Newman’s Own® Low Fat Family Recipe Italian Dressing,60.0,20.0,2.5,0.0,0.0,0.0,730.0,8.0,0.0,1.0,1.0,60.0
McDonald’s,Newman’s Own® Ranch Dressing,170.0,130.0,15.0,2.5,0.0,20.0,530.0,9.0,0.0,4.0,1.0,175.5
McDonald’s,Egg McMuffin®,300.0,110.0,12.0,5.0,0.0,260.0,820.0,30.0,2.0,3.0,18.0,290.0
McDonald’s,Sausage McMuffin®,370.0,200.0,22.0,8.0,0.0,45.0,850.0,29.0,2.0,2.0,14.0,366.0
McDonald’s,Sausage McMuffin® with Egg,450.0,250.0,27.0,10.0,0.0,285.0,920.0,30.0,2.0,2.0,21.0,441.0
McDonald’s,English Muffin,160.0,30.0,3.0,0.5,0.0,0.0,280.0,27.0,2.0,2.0,5.0,157.5
McDonald’s,"Bacon, Egg & Cheese Biscuit (Regular Size Biscuit)",420.0,210.0,23.0,12.0,0.0,235.0,1160.0,37.0,2.0,3.0,15.0,420.0
McDonald’s,"Bacon, Egg & Cheese Biscuit (Large Size Biscuit)",480.0,240.0,27.0,12.0,0.0,235.0,1270.0,43.0,3.0,4.0,15.0,481.0
McDonald’s,Sausage Biscuit with Egg (Regular Size Biscuit),510.0,290.0,33.0,14.0,0.0,250.0,1170.0,36.0,2.0,2.0,18.0,508.0
McDonald’s,Sausage Biscuit with Egg (Large Size Biscuit),570.0,330.0,37.0,15.0,0.0,250.0,1280.0,42.0,3.0,3.0,18.0,570.0
McDonald’s,Sausage Biscuit (Regular Size Biscuit),430.0,240.0,27.0,12.0,0.0,30.0,1080.0,34.0,2.0,2.0,11.0,433.0
McDonald’s,Sausage Biscuit (Large Size Biscuit),480.0,280.0,31.0,13.0,0.0,30.0,1190.0,39.0,3.0,3.0,11.0,485.0
McDonald’s,Southern Style Chicken Biscuit (Regular Size Biscuit),410.0,180.0,20.0,8.0,0.0,30.0,1180.0,41.0,2.0,3.0,17.0,404.0
McDonald’s,Southern Style Chicken Biscuit (Large Size Biscuit),470.0,220.0,24.0,9.0,0.0,30.0,1290.0,46.0,3.0,4.0,17.0,466.0
McDonald’s,"Steak, Egg & Cheese Bagel",660.0,300.0,33.0,12.0,1.0,300.0,1580.0,56.0,3.0,7.0,33.0,646.0
McDonald’s,"Bacon, Egg & Cheese McGriddles®",420.0,160.0,18.0,8.0,0.0,240.0,1110.0,48.0,2.0,15.0,15.0,428.0
McDonald’s,"Sausage, Egg & Cheese McGriddles®",560.0,290.0,32.0,12.0,0.0,265.0,1360.0,48.0,2.0,15.0,20.0,567.0
McDonald’s,Sausage McGriddles®,420.0,200.0,22.0,8.0,0.0,35.0,1030.0,44.0,2.0,15.0,11.0,432.0
McDonald’s,Big Breakfast® (Regular Size Biscuit),740.0,430.0,48.0,17.0,0.0,555.0,1560.0,51.0,3.0,3.0,28.0,732.0
McDonald’s,Big Breakfast® (Large Size Biscuit),800.0,470.0,52.0,18.0,0.0,555.0,1680.0,56.0,4.0,3.0,28.0,793.0
McDonald’s,Big Breakfast with Hotcakes (Regular Size Biscuit),1090.0,510.0,56.0,19.0,0.0,575.0,2150.0,111.0,6.0,17.0,36.0,1090.0
McDonald’s,Big Breakfast with Hotcakes (Large Size Biscuit),1150.0,540.0,60.0,20.0,0.0,575.0,2260.0,116.0,7.0,17.0,36.0,1151.0
McDonald’s,Sausage Burrito,300.0,140.0,16.0,7.0,0.0,115.0,830.0,26.0,1.0,2.0,12.0,297.0
McDonald’s,McSkillet™ Burrito with Sausage,610.0,320.0,36.0,14.0,0.5,410.0,1390.0,44.0,3.0,4.0,27.0,601.0
McDonald’s,Hotcakes,350.0,80.0,9.0,2.0,0.0,20.0,590.0,60.0,3.0,14.0,8.0,358.0
McDonald’s,Hotcakes and Sausage,520.0,210.0,24.0,7.0,0.0,50.0,930.0,61.0,3.0,14.0,15.0,526.0
McDonald’s,Hotcake Syrup,180.0,0.0,0.0,0.0,0.0,0.0,20.0,45.0,0.0,32.0,0.0,212.0
McDonald’s,Whipped Margarine (1 pat),40.0,40.0,4.5,1.5,0.0,0.0,55.0,0.0,0.0,0.0,0.0,41.5
McDonald’s,Hash Brown,150.0,80.0,9.0,1.5,0.0,0.0,310.0,15.0,2.0,0.0,1.0,150.5
McDonald’s,Grape Jam,35.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,44.0
McDonald’s,Strawberry Preserves,35.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,44.0
McDonald’s,"Bacon, Egg & Cheese Bagel",560.0,240.0,27.0,9.0,0.5,260.0,1300.0,56.0,3.0,7.0,24.0,552.0
McDonald’s,Fruit & Maple Oatmeal,290.0,40.0,4.5,2.0,0.0,10.0,160.0,57.0,5.0,32.0,5.0,319.0
McDonald’s,Fruit & Maple Oatmeal without Brown Sugar,260.0,40.0,4.5,2.0,0.0,10.0,115.0,48.0,5.0,18.0,5.0,275.0
McDonald’s,Hamburger Happy Meal,475.0,143.6667957415535,16.0,4.066790352504638,0.0,40.0,690.0,62.0,2.0,20.0,22.0,501.78112360325224
McDonald’s,4 Piece Chicken McNuggets Happy Meal,395.0,152.6559058154906,17.0,3.5,0.0,35.0,510.0,41.0,1.0,14.0,19.0,419.8429215010423
McDonald’s,6 Piece Chicken McNuggets® Happy Meal,475.0,197.6014561851761,22.0,4.5,0.0,50.0,680.0,46.0,2.0,14.0,24.0,501.78112360325224
McDonald’s,Fruit ‘n Yogurt Parfait (7 oz),160.0,20.0,2.0,1.0,0.0,5.0,85.0,31.0,1.0,21.0,4.0,178.0
McDonald’s,Low Fat Caramel Dip,70.0,5.0,0.5,0.0,0.0,5.0,35.0,15.0,0.0,9.0,0.0,79.0
McDonald’s,Vanilla Reduced Fat Ice Cream Cone,150.0,35.0,3.5,2.0,0.0,15.0,60.0,24.0,0.0,18.0,4.0,166.0
McDonald’s,Kiddie Cone,45.0,10.0,1.0,0.5,0.0,5.0,20.0,8.0,0.0,6.0,1.0,50.5
McDonald’s,Strawberry Sundae,280.0,60.0,6.0,4.0,0.0,25.0,95.0,49.0,1.0,45.0,6.0,323.0
McDonald’s,Hot Caramel Sundae,340.0,70.0,8.0,5.0,0.0,30.0,160.0,60.0,1.0,44.0,7.0,382.0
McDonald’s,Hot Fudge Sundae,330.0,90.0,10.0,7.0,0.0,25.0,180.0,54.0,2.0,48.0,8.0,377.0
McDonald’s,Peanuts (for Sundaes),45.0,30.0,3.5,0.5,0.0,0.0,0.0,2.0,1.0,0.0,2.0,43.5
McDonald’s,McFlurry® with M&M’S® Candies (12 fl oz cup),710.0,230.0,25.0,16.0,1.0,60.0,220.0,105.0,4.0,97.0,15.0,808.0
McDonald’s,McFlurry® with OREO® Cookies (12 fl oz cup),580.0,170.0,19.0,10.0,1.0,50.0,320.0,89.0,3.0,73.0,13.0,650.0
McDonald’s,Baked Hot Apple Pie,250.0,110.0,13.0,7.0,0.0,0.0,170.0,32.0,4.0,13.0,2.0,268.0
McDonald’s,Cinnamon Melts,460.0,170.0,19.0,9.0,0.0,15.0,370.0,66.0,3.0,32.0,6.0,495.0
McDonald’s,McDonaldland® Cookies,260.0,70.0,8.0,2.5,0.0,0.0,300.0,43.0,1.0,13.0,4.0,271.5
McDonald’s,Chocolate Chip Cookie,160.0,70.0,8.0,3.5,0.0,10.0,90.0,21.0,1.0,15.0,2.0,176.5
McDonald’s,Oatmeal Raisin Cookie,150.0,50.0,6.0,2.5,0.0,10.0,135.0,22.0,1.0,13.0,2.0,163.5
McDonald’s,Sugar Cookie,160.0,60.0,7.0,3.0,0.0,5.0,120.0,21.0,0.0,11.0,2.0,172.0
McDonald’s,Apple Dippers with Low Fat Caramel Dip,100.0,5.0,0.5,0.0,0.0,5.0,35.0,23.0,0.0,15.0,0.0,115.0
McDonald’s,Chocolate McCafé® Shake (12 fl oz cup),580.0,150.0,17.0,10.0,1.0,50.0,240.0,94.0,1.0,77.0,11.0,656.0
McDonald’s,Chocolate McCafé® Shake (16 fl oz cup),720.0,180.0,20.0,12.0,1.0,60.0,300.0,119.0,1.0,98.0,15.0,815.0
McDonald’s,Chocolate McCafé® Shake (22 fl oz cup),880.0,220.0,24.0,15.0,1.5,75.0,370.0,147.0,1.0,121.0,18.0,998.0
McDonald’s,Chocolate Triple Thick® Shake (12 fl oz cup),440.0,90.0,10.0,6.0,0.5,40.0,190.0,76.0,1.0,63.0,10.0,499.0
McDonald’s,Chocolate Triple Thick® Shake (16 fl oz cup),580.0,120.0,14.0,8.0,1.0,50.0,250.0,102.0,1.0,84.0,13.0,659.0
McDonald’s,Chocolate Triple Thick® Shake (21 fl oz cup),770.0,160.0,18.0,11.0,1.0,70.0,330.0,134.0,1.0,111.0,18.0,874.0
McDonald’s,Chocolate Triple Thick® Shake (32 fl oz cup),1160.0,240.0,27.0,16.0,2.0,100.0,510.0,203.0,2.0,168.0,27.0,1317.0
McDonald’s,Snack Size McFlurry® with M&M’S® Candies,430.0,140.0,16.0,10.0,0.5,35.0,130.0,64.0,2.0,59.0,9.0,490.0
McDonald’s,Snack Size McFlurry® with OREO® Cookies,340.0,100.0,12.0,6.0,0.0,30.0,200.0,53.0,2.0,43.0,8.0,381.0
McDonald’s,Strawberry McCafé® Shake (12 fl oz cup),570.0,150.0,17.0,10.0,1.0,50.0,170.0,92.0,0.0,79.0,11.0,648.0
McDonald’s,Strawberry McCafé® Shake (16 fl oz cup),710.0,180.0,20.0,12.0,1.0,65.0,210.0,116.0,0.0,100.0,14.0,808.0
McDonald’s,Strawberry McCafé® Shake (22 fl oz cup),860.0,220.0,24.0,15.0,1.5,75.0,260.0,144.0,0.0,124.0,18.0,981.0
McDonald’s,Strawberry Triple Thick® Shake (12 fl oz cup),420.0,90.0,10.0,6.0,0.5,40.0,130.0,73.0,0.0,63.0,10.0,479.0
McDonald’s,Strawberry Triple Thick® Shake (16 fl oz cup),560.0,120.0,13.0,8.0,1.0,50.0,170.0,97.0,0.0,84.0,13.0,639.0
McDonald’s,Strawberry Triple Thick® Shake (21 fl oz cup),740.0,160.0,18.0,11.0,1.0,70.0,230.0,128.0,0.0,111.0,17.0,845.0
McDonald’s,Strawberry Triple Thick® Shake (32 fl oz cup),1110.0,240.0,26.0,16.0,2.0,100.0,350.0,194.0,0.0,168.0,25.0,1269.0
McDonald’s,Vanilla McCafé® Shake (12 fl oz cup),540.0,150.0,16.0,10.0,1.0,45.0,170.0,88.0,0.0,64.0,10.0,604.0
McDonald’s,Vanilla McCafé® Shake (16 fl oz cup),680.0,180.0,20.0,12.0,1.0,60.0,220.0,111.0,0.0,82.0,14.0,760.0
McDonald’s,Vanilla McCafé® Shake (22 fl oz cup),830.0,210.0,24.0,14.0,1.5,75.0,270.0,138.0,0.0,103.0,17.0,930.0
McDonald’s,Vanilla Triple Thick Shake® (32 fl oz cup),1110.0,240.0,26.0,16.0,2.0,100.0,370.0,193.0,0.0,145.0,25.0,1246.0
McDonald’s,Vanilla Triple Thick® Shake (12 fl oz cup),420.0,90.0,10.0,6.0,0.5,40.0,140.0,72.0,0.0,54.0,9.0,471.0
McDonald’s,Vanilla Triple Thick® Shake (16 fl oz cup),550.0,120.0,13.0,8.0,1.0,50.0,190.0,96.0,0.0,72.0,13.0,617.0
McDonald’s,Vanilla Triple Thick® Shake (21 fl oz cup),740.0,160.0,18.0,11.0,1.0,70.0,250.0,128.0,0.0,96.0,17.0,830.0
McDonald’s,1% Low Fat Milk Jug,100.0,20.0,2.5,1.5,0.0,10.0,125.0,12.0,0.0,12.0,8.0,105.5
McDonald’s,1% Low Fat Chocolate Milk Jug,170.0,25.0,3.0,1.5,0.0,5.0,150.0,26.0,1.0,25.0,9.0,187.5
McDonald’s,Minute Maid® 100% Apple Juice Box,100.0,0.0,0.0,0.0,0.0,0.0,15.0,23.0,0.0,22.0,0.0,122.0
McDonald’s,Dasani® Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McDonald’s,Minute Maid® Orange Juice (Small),150.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,2.0,178.0
McDonald’s,Minute Maid® Orange Juice (Medium),190.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,39.0,3.0,226.0
McDonald’s,Minute Maid® Orange Juice (Large),280.0,0.0,0.0,0.0,0.0,0.0,5.0,58.0,0.0,58.0,4.0,334.0
McDonald’s,Coca-Cola® Classic (Child),110.0,0.0,0.0,0.0,0.0,0.0,5.0,29.0,0.0,29.0,0.0,139.0
McDonald’s,Coca-Cola® Classic (Small),150.0,0.0,0.0,0.0,0.0,0.0,10.0,40.0,0.0,40.0,0.0,190.0
McDonald’s,Coca-Cola® Classic (Medium),210.0,0.0,0.0,0.0,0.0,0.0,15.0,58.0,0.0,58.0,0.0,268.0
McDonald’s,Coca-Cola® Classic (Large),310.0,0.0,0.0,0.0,0.0,0.0,20.0,86.0,0.0,86.0,0.0,396.0
McDonald’s,Diet Coke® (Child),0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
McDonald’s,Diet Coke® (Small),0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
McDonald’s,Diet Coke® (Medium),0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
McDonald’s,Diet Coke® (Large),0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0
McDonald’s,Sprite® (Child),110.0,0.0,0.0,0.0,0.0,0.0,30.0,28.0,0.0,28.0,0.0,138.0
McDonald’s,Sprite® (Small),150.0,0.0,0.0,0.0,0.0,0.0,40.0,39.0,0.0,39.0,0.0,189.0
McDonald’s,Sprite® (Medium),210.0,0.0,0.0,0.0,0.0,0.0,55.0,56.0,0.0,56.0,0.0,266.0
McDonald’s,Sprite® (Large),310.0,0.0,0.0,0.0,0.0,0.0,80.0,83.0,0.0,83.0,0.0,393.0
McDonald’s,Hi-C® Orange Lavaburst (Child),120.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,32.0,0.0,152.0
McDonald’s,Hi-C® Orange Lavaburst (Small),160.0,0.0,0.0,0.0,0.0,0.0,5.0,44.0,0.0,44.0,0.0,204.0
McDonald’s,Hi-C® Orange Lavaburst (Medium),240.0,0.0,0.0,0.0,0.0,0.0,10.0,64.0,0.0,64.0,0.0,304.0
McDonald’s,Hi-C® Orange Lavaburst (Large),350.0,0.0,0.0,0.0,0.0,0.0,10.0,94.0,0.0,94.0,0.0,444.0
McDonald’s,POWERade® Mountain Blast (Child),70.0,0.0,0.0,0.0,0.0,0.0,65.0,20.0,0.0,16.0,0.0,86.0
McDonald’s,POWERade® Mountain Blast (Small),100.0,0.0,0.0,0.0,0.0,0.0,85.0,27.0,0.0,21.0,0.0,121.0
McDonald’s,POWERade® Mountain Blast (Medium),150.0,0.0,0.0,0.0,0.0,0.0,130.0,39.0,0.0,31.0,0.0,181.0
McDonald’s,POWERade® Mountain Blast (Large),220.0,0.0,0.0,0.0,0.0,0.0,190.0,58.0,0.0,46.0,0.0,266.0
McDonald’s,Iced Tea (Child),0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
McDonald’s,Iced Tea (Small),0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
McDonald’s,Iced Tea (Medium),0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
McDonald’s,Iced Tea (Large),0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0
McDonald’s,Coffee (Small),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McDonald’s,Coffee (Large),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McDonald’s,Coffee Cream,20.0,20.0,2.0,1.5,0.0,10.0,15.0,0.0,0.0,0.0,0.0,21.5
McDonald’s,Sugar Packet,15.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,19.0
McDonald’s,"EQUAL® 0
Calorie Sweetener",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
McDonald’s,"SPLENDA® No
Calorie Sweetener",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
McDonald’s,Iced Coffee– Caramel (Small),130.0,50.0,5.0,3.5,0.0,20.0,80.0,21.0,0.0,20.0,1.0,152.5
McDonald’s,Iced Coffee– Caramel (Medium),190.0,70.0,8.0,5.0,0.0,30.0,115.0,27.0,0.0,27.0,2.0,220.0
McDonald’s,Iced Coffee– Caramel (Large),270.0,100.0,11.0,7.0,0.0,40.0,160.0,41.0,0.0,41.0,2.0,316.0
McDonald’s,Iced Coffee– Hazelnut (Small),130.0,50.0,5.0,3.5,0.0,20.0,40.0,21.0,0.0,21.0,1.0,153.5
McDonald’s,Iced Coffee– Hazelnut (Medium),190.0,70.0,8.0,5.0,0.0,30.0,60.0,29.0,0.0,29.0,2.0,222.0
McDonald’s,Iced Coffee– Hazelnut (Large),270.0,100.0,11.0,7.0,0.0,40.0,85.0,43.0,0.0,43.0,2.0,318.0
McDonald’s,Iced Coffee– Regular (Small),140.0,50.0,5.0,3.5,0.0,20.0,40.0,22.0,0.0,22.0,1.0,164.5
McDonald’s,Iced Coffee– Regular (Medium),200.0,70.0,8.0,5.0,0.0,30.0,60.0,30.0,0.0,30.0,2.0,233.0
McDonald’s,Iced Coffee– Regular (Large),280.0,100.0,11.0,7.0,0.0,40.0,85.0,45.0,0.0,45.0,2.0,330.0
